GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A009EZD4	sugE	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0162	1310605	UniProt		C
UniProtKB	A0A009EZD4	sugE	located_in	GO:0005886	plasma membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0039	1310605	UniProt		C
UniProtKB	A0A009EZE7	acpP	located_in	GO:0005737	cytoplasm	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0086	1310605	UniProt		C
UniProtKB	A0A009EZF5	J504_0198	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0162	1310605	UniProt		C
UniProtKB	A0A009EZF5	J504_0198	located_in	GO:0005886	plasma membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0039	1310605	UniProt		C
UniProtKB	A0A009EZG2	J504_0216	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0162	1310605	UniProt		C
UniProtKB	A0A009EZG2	J504_0216	located_in	GO:0005886	plasma membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0039	1310605	UniProt		C
UniProtKB	A0A009EZI9	J504_1112	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0162	1310605	UniProt		C
UniProtKB	A0A009EZL4	J504_0167	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0162	1310605	UniProt		C
UniProtKB	A0A009EZM6	J504_0140	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0162	1310605	UniProt		C
UniProtKB	A0A009EZM6	J504_0140	located_in	GO:0005886	plasma membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0037	1310605	UniProt		C
UniProtKB	A0A009EZN3	J504_0128	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0162	1310605	UniProt		C
UniProtKB	A0A009EZN6	hemN	located_in	GO:0005737	cytoplasm	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0086	1310605	UniProt		C
UniProtKB	A0A009EZN7	J504_1071	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0162	1310605	UniProt		C
UniProtKB	A0A009EZP2	ubiA	located_in	GO:0005886	plasma membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0037	1310605	UniProt		C
UniProtKB	A0A009EZR9	crcB	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0162	1310605	UniProt		C
UniProtKB	A0A009EZR9	crcB	located_in	GO:0005886	plasma membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0039	1310605	UniProt		C
UniProtKB	A0A009EZW7	J504_0052	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0162	1310605	UniProt		C
UniProtKB	A0A009EZW7	J504_0052	located_in	GO:0005886	plasma membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0037	1310605	UniProt		C
UniProtKB	A0A009EZX6	J504_1027	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0162	1310605	UniProt		C
UniProtKB	A0A009EZX7	ahcY	located_in	GO:0005737	cytoplasm	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0086	1310605	UniProt		C
UniProtKB	A0A009F028	J504_0056	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0162	1310605	UniProt		C
