molecule_chembl_id,M,N
CHEMBL101579,3,3705
CHEMBL101581,2,3705
CHEMBL101584,1,3705
CHEMBL101585,1,3705
CHEMBL101586,1,3705
CHEMBL101587,2,3705
CHEMBL101588,1,3705
CHEMBL101591,1,3705
CHEMBL101593,2,3705
CHEMBL101594,1,3705
CHEMBL101595,1,3705
CHEMBL101596,3,3705
CHEMBL1016,13,3705
CHEMBL10160,1,3705
CHEMBL101600,1,3705
CHEMBL101601,1,3705
CHEMBL101606,3,3705
CHEMBL101607,2,3705
CHEMBL101609,5,3705
CHEMBL101610,4,3705
CHEMBL101612,4,3705
CHEMBL101614,1,3705
CHEMBL101616,1,3705
CHEMBL101617,1,3705
CHEMBL101618,1,3705
CHEMBL10162,2,3705
CHEMBL101621,1,3705
CHEMBL101622,5,3705
CHEMBL101623,2,3705
CHEMBL101629,1,3705
CHEMBL101630,3,3705
CHEMBL101631,1,3705
CHEMBL101633,1,3705
CHEMBL101634,2,3705
CHEMBL10164,1,3705
CHEMBL101641,2,3705
CHEMBL101644,4,3705
CHEMBL101647,1,3705
CHEMBL101654,1,3705
CHEMBL101656,1,3705
CHEMBL101661,3,3705
CHEMBL101662,1,3705
CHEMBL101663,2,3705
CHEMBL101664,1,3705
CHEMBL101666,3,3705
CHEMBL101668,1,3705
CHEMBL101671,2,3705
CHEMBL101672,5,3705
CHEMBL101674,3,3705
CHEMBL101676,3,3705
CHEMBL101678,2,3705
CHEMBL101679,2,3705
CHEMBL101681,1,3705
CHEMBL101682,1,3705
CHEMBL101683,5,3705
CHEMBL101684,4,3705
CHEMBL101686,3,3705
CHEMBL101690,4,3705
CHEMBL101691,3,3705
CHEMBL101692,3,3705
CHEMBL101694,1,3705
CHEMBL101698,1,3705
CHEMBL1017,14,3705
CHEMBL10170,1,3705
CHEMBL101707,2,3705
CHEMBL101712,3,3705
CHEMBL101714,3,3705
CHEMBL101716,1,3705
CHEMBL101717,1,3705
CHEMBL101718,1,3705
CHEMBL101719,2,3705
CHEMBL101721,1,3705
CHEMBL101723,1,3705
CHEMBL101726,1,3705
CHEMBL101728,4,3705
CHEMBL101732,1,3705
