acc,gene
Q8N302,AGGF1
Q53H12,AGK
P35573,AGL
Q9BSE5,AGMAT
Q6ZNB7,AGMO
Q9UL18,AGO1
Q9UKV8,AGO2
Q9H9G7,AGO3
Q9HCK5,AGO4
Q99943,AGPAT1
O15120,AGPAT2
Q9NRZ7,AGPAT3
Q9NRZ5,AGPAT4
Q9H0P7,AGPAT4-IT1
Q9NUQ2,AGPAT5
O00116,AGPS
O95994,AGR2
Q8TD06,AGR3
O00468,AGRN
O00253,AGRP
P01019,AGT
Q9UPW5,AGTPBP1
P30556,AGTR1
P50052,AGTR2
Q6RW13,AGTRAP
P21549,AGXT
Q9BYV1,AGXT2
Q8WYP5,AHCTF1
P23526,AHCY
O43865,AHCYL1
Q96HN2,AHCYL2
Q5TGY3,AHDC1
Q8N157,AHI1
Q09666,AHNAK
Q8IVF2,AHNAK2
P35869,AHR
A9YTQ3,AHRR
O95433,AHSA1
Q719I0,AHSA2P
P02765,AHSG
Q9NZD4,AHSP
Q9GZX7,AICDA
Q96BJ3,AIDA
P55008,AIF1
Q9BQI0,AIF1L
O95831,AIFM1
Q9BRQ8,AIFM2
Q96NN9,AIFM3
Q9NVV5,AIG1
O14862,AIM2
Q12904,AIMP1
Q13155,AIMP2
O00170,AIP
Q9NZN9,AIPL1
O43918,AIRE
Q9UKB5,AJAP1
C9J069,AJM1
Q96IF1,AJUBA
P00568,AK1
P54819,AK2
Q9UIJ7,AK3
P27144,AK4
Q9Y6K8,AK5
Q9Y3D8,AK6
Q96M32,AK7
Q96MA6,AK8
Q5TCS8,AK9
P0CW23,AKAIN1
Q92667,AKAP1
O43572,AKAP10
Q9UKA4,AKAP11
Q02952,AKAP12
Q12802,AKAP13
Q86UN6,AKAP14
Q02040,AKAP17A
Q9Y2D5,AKAP2
O75969,AKAP3
Q5JQC9,AKAP4
P24588,AKAP5
Q13023,AKAP6
Q9P0M2,AKAP7
O43687,AKAP7
O43823,AKAP8
Q9ULX6,AKAP8L
Q99996,AKAP9
Q9NQ31,AKIP1
Q9H9L7,AKIRIN1
Q53H80,AKIRIN2
Q7Z591,AKNA
Q5T1N1,AKNAD1
P14550,AKR1A1
P15121,AKR1B1
O60218,AKR1B10
C9JRZ8,AKR1B15
Q04828,AKR1C1
P52895,AKR1C2
P42330,AKR1C3
P17516,AKR1C4
Q5T2L2,AKR1C8P
P51857,AKR1D1
Q96JD6,AKR1E2
O43488,AKR7A2
O95154,AKR7A3
Q8NHP1,AKR7L
P31749,AKT1
Q96B36,AKT1S1
P31751,AKT2
Q9Y243,AKT3
Q9H8T0,AKTIP
P13716,ALAD
P13196,ALAS1
P22557,ALAS2
P02768,ALB
Q13740,ALCAM
Q8IZ83,ALDH16A1
P54886,ALDH18A1
P00352,ALDH1A1
O94788,ALDH1A2
P47895,ALDH1A3
P30837,ALDH1B1
O75891,ALDH1L1
Q3SY69,ALDH1L2
P05091,ALDH2
P30838,ALDH3A1
P51648,ALDH3A2
P43353,ALDH3B1
P48448,ALDH3B2
P30038,ALDH4A1
P51649,ALDH5A1
Q02252,ALDH6A1
